8.34,13.63
12.19,12.83
10.04,9.57
11.54,6.05
11.76,17.5
7.26,10.92
15.56,6.75
12.7,16.27
9.07,10.1
10.65,10.12
11.59,15.13
11.13,11.79
8.75,8.4
12.54,11.03
6.11,10.08
8.54,14.46
14.54,9.62
8.09,8.53
10.86,10.32
10.62,7.84
6.94,9.54
11.71,13.25
7.91,14.56
8.62,9.3
10.5,10.49
12.11,7.53
8.58,10.61
11.04,3.71
10.88,9.49
11.69,10.45
9.07,14.8
11.82,12.08
8.77,8.14
7.17,17.28
10.41,10.92
7.63,13.07
8.06,14.72
10.84,8.98
9.54,12.53
12.75,12.73
12.7,13.87
11.41,10.6
6.62,13.58
11.16,9.33
9.56,6.68
13.12,11.54
6.45,12.42
8.97,10.75
8.61,11.35
11.73,11.65
