6.48,12.78
9.7,13.51
7.52,10.77
6.45,10.7
6.24,10.07
11.32,10.19
8.19,6.96
11.13,9.17
10.98,12.16
11.25,12.06
5.65,11.18
15.59,9.04
12.32,10.73
11.72,9.48
10.67,8.46
11.85,14.48
6.87,12.54
11.05,13.13
10.8,14.49
12.4,9.1
12.02,11.98
8.35,7.91
11.17,13.55
11.43,7.88
10.43,11.62
7.87,13.79
11.38,12.07
10.75,13.49
9.48,13.88
11.34,13.81
10.95,12.4
9.62,10.75
9.7,10.09
7.94,6.51
12.15,12.36
9.76,11.46
10.79,12.79
10.69,8.51
7.2,10.96
11.82,10.95
10.34,10.94
7.6,11.93
5.4,13.02
8.68,11.11
10.4,5.19
13.21,12.53
12.63,14.91
7.45,12.37
11.1,11.85
12.87,8.52
